SupplierId,HotelName,Address1,Address2,CityName,StateCode,CountryCode,ZipCode,Latitude,Longitude
125827,Hotel Artheus Carmelitas Salamanca,"Paseo Carmelitas, 67",,Salamanca,,ES,37002 SALAMANCA,40.9682255,-5.667277
803156,Hotel Sevilla Center,"Avda. de la Buhaira, 24",,Seville,,ES,41018 SEVILHA,37.38139,-5.980052
585157,Hotel Bluebay Lanzarote,"Avenida de Las Palmeras, 30",,Lanzarote Island - Costa Teguise,,ES,35508 COSTA TEGUISE,29.0031648,-13.4931321
88067,Parador de La Granja,"Calle de los Infantes, 3",,La Granja de San Ildefonso/San Ildefonso,,ES,40100 La Granja de San Ildefonso,40.901234,-4.007796
848067,Hotel Gran Duque,"Calle Els Terrers, 7",,Oropesa del Mar,,ES,12594 OROPESA DEL MAR,40.1098546,0.148571
170302,Hotel Villa Jerez,"Avda. de la Cruz Roja, 7",,Jerez de la Frontera,,ES,11407 JEREZ DE LA FRONTERA,36.6950922,-6.132328
543754,Days Inn Montevideo,"Acevedo Diaz, 1821",,Montevideo,,UY,11800 MONTEVIDEO,-34.8961552,-56.1673115
352632,Los Monteros Hotel & Spa,"Carretera de Cádiz, Km 187 - Urb. Los Monteros",,Marbella (Andalusia),,ES,29603 MARBELLA,36.5057033,-4.8248172
96613,Hotel Navas,"Calle Navas, 24",,Granada (Andalusia),,ES,18009 GRANADA,37.173695,-3.598229
547156,Hotel Splendom Suites,"Calle Valencia, 194",,Barcelona,,ES,08011 BARCELONA,41.388313,2.157731
443154,Hotel Murmuri,"Rambla de Catalunya, 104",,Barcelona,,ES,08008 BARCELONA,41.3940885,2.1596443
170016,Hotel Catalonia Gran Vía,"Gran Vía, 7-9",,Madrid,,ES,28013 MADRID,40.4194511,-3.6990826
629,Hotel GHM Monachil,Avenida Maribel 10,,Sierra Nevada,,ES,18196 Sierra Nevada,37.0924419,-3.3948448
624079,Senator Granada Spa Hotel,Paseo del Violón s/n,,Granada (Andalusia),,ES,18006 GRANADA,37.1657683,-3.6006263
377628,Iberostar Grand Hotel El Mirador (Only Adults),"Avda. Bruselas, s/n",,Costa Adeje,,ES,38660,28.089041,-16.734888
100341,AC Hotel Almería,Plaza Flores 5,,Almeria,,ES,04001 Almería,36.8407914,-2.4649943
803117,Hotel Badajoz Center,Avenida Damian Tellez Lafuente,,Badajoz,,ES,6010 BADAJOZ,38.8657483,-6.9724438
96160,Dunas Suites and Villas Resort,Avda. Sunair S/n,,Gran Canaria Island - Maspalomas,,ES,35100 Maspalomas,27.7477128,-15.5968876
803121,Hotel Andalucia Center,"Avenida America, 3",,Granada (Andalusia),,ES,18006 GRANADA,37.161659,-3.600135
159717,Hotel Catalonia Park Putxet,"Putxet, 68-74",,Barcelona,,ES,8023 BARCELONA,41.407263,2.144211
1009315,"AC Hotel National Harbor Washington, DC Area",156 Waterfront Street,,National Harbor (Maryland),,US,20745,38.78433333,-77.01621389
100663,Hotel AC Burgos,"Paseo de la Audiencia, 7",,Burgos,,ES,09003 Burgos,42.3389695,-3.7050847
545318,Hotel AC Vicenza,"S.S. Padana Superiore verso Verona, n. 60",,Vicenza,,IT,36100 VICENZA,45.531754,11.502054
953065,AC Hotel Algeciras,"Calle Hermanos Portilla, S/n",,Algeciras,,ES,11204 ALGECIRAS,36.142916,-5.448305
634455,Hotel NH Amsterdam Museum Quarter,"Hobbemakade, 50",,Amsterdam,,NL,1071 XL AMESTERDÃO,52.3557943,4.8861782
92682,NH Collection Brussels Centre,"Boulevard Adolphe Max, 7",,Brussels,,BE,1000 BRUXELLES,50.852206,4.354138
832576,NH Buenos Aires City,"Bolivar, 160",,Buenos Aires,,AR,C1066AAD BUENOS AIRES,-34.6097752,-58.3734077
5607,NH Collection Lisboa Liberdade,"Avenida da Liberdade, 180 B",,Lisbon,,PT,1250-146 LISBOA,38.718203,-9.143289
88222,NH Collection Madrid Eurobuilding,"Calle Padre Damian, 23",,Madrid,,ES,28036 MADRID,40.45828,-3.6858278
953023,AC Los Vascos by Marriott,"Los Vascos, 27",,Madrid,,ES,28040 MADRID,40.448922,-3.711449
953075,Hotel AC Murcia,"Avenida Juan Carlos I, s/n",,Murcia,,ES,30009 MURCIA,38.003355,-1.142385
898205,AC Hotel Milano,Via Tazzoli 2,,Milan,,IT,20154 MILAO,45.485117,9.183447
87798,Hotel AC Porto,"Rua Jaime Brasil, 40",,Oporto,,PT,4350-005 PORTO,41.16472,-8.583129
95482,AC Hotel Oviedo Forum,"Plaza De Los Ferrocarriles, 1",,Oviedo,,ES,33003 OVIEDO,43.36738,-5.854172
898345,AC Ciutat de Palma,"Plaza Puente, 3",,Majorca Island - Palma,,ES,7014 Palma de Maiorca,39.6243826,2.671363
357968,AC Hotel Pisa,"Via delle Torri, 20",,Pisa,,IT,56124 PISA,43.706656,10.433024
97703,AC Hotel Lleida,"c/ Unión, 8",,Lleida/Lerida,,ES,25003 Lérida,41.611231,0.616787
29137,Ac Hotel Arezzo,Via Einsten 4,,Arezzo,,IT,52100 Arezzo,43.47009,11.849063
89520,Hotel NH Crillon,"Avenida Santa Fe, 796",,Buenos Aires,,AR,C1059AB0 BUENOS AIRES,-34.5952056,-58.3782544
89532,Nh Buenos Aires Florida,"San Martin, 839",,Buenos Aires,,AR,01135 BUENOS AIRES,-34.598074,-58.374196
